filepath,filename,extension,file_size,label,width,height,mode,num_channels,aspect_ratio,is_image_valid,is_black,is_na,hash,is_duplicate_after_first,species,disease,is_augmented
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Blueberry___healthy/0137389a-9b78-4a94-afdb-c2b50861f89c___RS_HL 2347_final_masked.png,0137389a-9b78-4a94-afdb-c2b50861f89c___RS_HL 2347_final_masked.png,png,39863,Blueberry___healthy,256,256,RGB,3,1.0,True,False,False,0aeb94f4f33bbd24d185a09712e4c266,False,Blueberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Blueberry___healthy/013ffdc5-cbd1-4202-b0f1-8fd7c1ffc0b8___RS_HL 5120_final_masked.png,013ffdc5-cbd1-4202-b0f1-8fd7c1ffc0b8___RS_HL 5120_final_masked.png,png,53996,Blueberry___healthy,256,256,RGB,3,1.0,True,False,False,65cbfe6d7940c002991bbe42bd5d2edb,False,Blueberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Corn_(maize)___healthy/00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL 8325 copy 2_final_masked.png,00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL 8325 copy 2_final_masked.png,png,105535,Corn_(maize)___healthy,256,256,RGB,3,1.0,True,False,False,8079822c7fa38a5e98b2ff49f7a5fb74,False,Corn_(maize),healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Corn_(maize)___healthy/026bd735-b9f4-4eab-86f3-23df15dbec95___R.S_HL 7938 copy_final_masked.png,026bd735-b9f4-4eab-86f3-23df15dbec95___R.S_HL 7938 copy_final_masked.png,png,106248,Corn_(maize)___healthy,256,256,RGB,3,1.0,True,False,False,c725eb8aa4a492c13011b9b63af36ac5,False,Corn_(maize),healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Corn_(maize)___healthy/00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL 8315 copy 2_final_masked.png,00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL 8315 copy 2_final_masked.png,png,69800,Corn_(maize)___healthy,256,256,RGB,3,1.0,True,False,False,fc868388540e98601713b05270d42b57,False,Corn_(maize),healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Corn_(maize)___healthy/01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL 8189 copy_final_masked.png,01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL 8189 copy_final_masked.png,png,60899,Corn_(maize)___healthy,256,256,RGB,3,1.0,True,False,False,4ae4fb12ffb13ba14974558c4e8b7ae6,False,Corn_(maize),healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Corn_(maize)___healthy/028ed539-32f5-4540-a6af-466179837de9___R.S_HL 8212 copy_final_masked.png,028ed539-32f5-4540-a6af-466179837de9___R.S_HL 8212 copy_final_masked.png,png,110071,Corn_(maize)___healthy,256,256,RGB,3,1.0,True,False,False,691f60c6b22bd8b886aca72c5f9f9e5d,False,Corn_(maize),healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Target_Spot/007ec913-8cfe-43ed-b458-f041a17266ae___Com.G_TgS_FL 9844_final_masked.png,007ec913-8cfe-43ed-b458-f041a17266ae___Com.G_TgS_FL 9844_final_masked.png,png,60374,Tomato___Target_Spot,256,256,RGB,3,1.0,True,False,False,7a2cabd0385122342d0d690d878490dd,False,Tomato,Target_Spot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Target_Spot/0044d10f-7062-4655-8abd-9fffc5b2f152___Com.G_TgS_FL 7908_final_masked.png,0044d10f-7062-4655-8abd-9fffc5b2f152___Com.G_TgS_FL 7908_final_masked.png,png,64907,Tomato___Target_Spot,256,256,RGB,3,1.0,True,False,False,b78377970842cc028bc01b1b0cc59a13,False,Tomato,Target_Spot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Target_Spot/00854623-ba28-446d-a1d5-03c0ae3f99d9___Com.G_TgS_FL 7949_final_masked.png,00854623-ba28-446d-a1d5-03c0ae3f99d9___Com.G_TgS_FL 7949_final_masked.png,png,64238,Tomato___Target_Spot,256,256,RGB,3,1.0,True,False,False,b225e939d770d8f9f883bbc83d06404f,False,Tomato,Target_Spot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Target_Spot/002213fb-b620-4593-b9ac-6a6cc119b100___Com.G_TgS_FL 8360_final_masked.png,002213fb-b620-4593-b9ac-6a6cc119b100___Com.G_TgS_FL 8360_final_masked.png,png,62274,Tomato___Target_Spot,256,256,RGB,3,1.0,True,False,False,73f2681322bfde85b8a6d08cc79a38a0,False,Tomato,Target_Spot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Target_Spot/003a5321-0430-42dd-a38d-30ac4563f4ba___Com.G_TgS_FL 8121_final_masked.png,003a5321-0430-42dd-a38d-30ac4563f4ba___Com.G_TgS_FL 8121_final_masked.png,png,56248,Tomato___Target_Spot,256,256,RGB,3,1.0,True,False,False,96315e135b7331ec1353bd274503e9a9,False,Tomato,Target_Spot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Peach___healthy/026aa11e-3f67-4951-9533-3c6ceb4c3d59___Rutg._HL 2494_final_masked.png,026aa11e-3f67-4951-9533-3c6ceb4c3d59___Rutg._HL 2494_final_masked.png,png,40299,Peach___healthy,256,256,RGB,3,1.0,True,False,False,f9c39cfe4361b81c0bd6bb9ea27faae3,False,Peach,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Peach___healthy/02e47796-808b-449e-bbba-f6e0262fa589___Rutg._HL 3714_final_masked.png,02e47796-808b-449e-bbba-f6e0262fa589___Rutg._HL 3714_final_masked.png,png,42535,Peach___healthy,256,256,RGB,3,1.0,True,False,False,7c4871608ee887d8ec91171cc8a28499,False,Peach,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Peach___healthy/02070622-2fd7-40d5-9470-27e513ea8a90___Rutg._HL 3636_final_masked.png,02070622-2fd7-40d5-9470-27e513ea8a90___Rutg._HL 3636_final_masked.png,png,40153,Peach___healthy,256,256,RGB,3,1.0,True,False,False,b7ce07aa9a7708a88708a22d81aa2146,False,Peach,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Peach___healthy/017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671_final_masked.png,017d3d86-12bf-4280-8929-10dcd504ac46___Rutg._HL 3671_final_masked.png,png,39573,Peach___healthy,256,256,RGB,3,1.0,True,False,False,7bfa966f61f75ec2c322f004361bfecd,False,Peach,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Peach___healthy/027b10e5-2d2e-4eb4-9457-7cb45ab2fd17___Rutg._HL 3710_final_masked.png,027b10e5-2d2e-4eb4-9457-7cb45ab2fd17___Rutg._HL 3710_final_masked.png,png,33585,Peach___healthy,256,256,RGB,3,1.0,True,False,False,943e7ad83b97dbd7090569f4bc436e6c,False,Peach,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Late_blight/0051e5e8-d1c4-4a84-bf3a-a426cdad6285___RS_LB 4640_final_masked.png,0051e5e8-d1c4-4a84-bf3a-a426cdad6285___RS_LB 4640_final_masked.png,png,52612,Potato___Late_blight,256,256,RGB,3,1.0,True,False,False,eb518a96aea25f24192a73a1470f07b2,False,Potato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Late_blight/0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949_final_masked.png,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949_final_masked.png,png,68918,Potato___Late_blight,256,256,RGB,3,1.0,True,False,False,0d5131483be023238c9d3a16ba44e553,False,Potato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Late_blight/006cc01a-1888-4326-9b62-a65cb55a6377___RS_LB 5207_final_masked.png,006cc01a-1888-4326-9b62-a65cb55a6377___RS_LB 5207_final_masked.png,png,69138,Potato___Late_blight,256,256,RGB,3,1.0,True,False,False,1ca9673c77c17561958bd7c3493288ba,False,Potato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Late_blight/00695906-210d-4a9d-822e-986a17384115___RS_LB 4026_final_masked.png,00695906-210d-4a9d-822e-986a17384115___RS_LB 4026_final_masked.png,png,60938,Potato___Late_blight,256,256,RGB,3,1.0,True,False,False,30d59b1e3a0fabc302f0d26eedf7bb3d,False,Potato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Late_blight/00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB 4479_final_masked.png,00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB 4479_final_masked.png,png,66528,Potato___Late_blight,256,256,RGB,3,1.0,True,False,False,413e23746f5a66ca3832b69b1956f807,False,Potato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Late_blight/008ebb44-eb77-4843-b621-4b88b5df7d43___RS_Late.B 5188_final_masked.png,008ebb44-eb77-4843-b621-4b88b5df7d43___RS_Late.B 5188_final_masked.png,png,63432,Tomato___Late_blight,256,256,RGB,3,1.0,True,False,False,995177e17d741eae53968548f912f182,False,Tomato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Late_blight/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_final_masked.png,0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_final_masked.png,png,56007,Tomato___Late_blight,256,256,RGB,3,1.0,True,False,False,72644e8f68156bf22f5761840da04657,False,Tomato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Late_blight/00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311_final_masked.png,00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311_final_masked.png,png,80457,Tomato___Late_blight,256,256,RGB,3,1.0,True,False,False,05a86b06e42d4e79ad9b4282cd3c9599,False,Tomato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Late_blight/005a2c1f-4e15-49e4-9e5c-61dc3ecf9708___RS_Late.B 5096_final_masked.png,005a2c1f-4e15-49e4-9e5c-61dc3ecf9708___RS_Late.B 5096_final_masked.png,png,72000,Tomato___Late_blight,256,256,RGB,3,1.0,True,False,False,565daca6af85b43c0eee0f5805416dd1,False,Tomato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Late_blight/005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104_final_masked.png,005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104_final_masked.png,png,70533,Tomato___Late_blight,256,256,RGB,3,1.0,True,False,False,fbfb9a7157557ded0f0a1bd26ff6ad72,False,Tomato,Late_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Tomato_mosaic_virus/00c07a77-15e6-4815-92d4-8d1e1afb7f3c___PSU_CG 2052_final_masked.png,00c07a77-15e6-4815-92d4-8d1e1afb7f3c___PSU_CG 2052_final_masked.png,png,50842,Tomato___Tomato_mosaic_virus,256,256,RGB,3,1.0,True,False,False,dc563d76b57f7a5983e5d3675829ed6c,False,Tomato,Tomato_mosaic_virus,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Tomato_mosaic_virus/000ec6ea-9063-4c33-8abe-d58ca8a88878___PSU_CG 2169_final_masked.png,000ec6ea-9063-4c33-8abe-d58ca8a88878___PSU_CG 2169_final_masked.png,png,39657,Tomato___Tomato_mosaic_virus,256,256,RGB,3,1.0,True,False,False,d139b13652da28bf3b7b8754c3d6b3ed,False,Tomato,Tomato_mosaic_virus,False
"/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Pepper,_bell___healthy/00208a93-7687-4e8c-b79e-3138687e0f38___JR_HL 7955_final_masked.png",00208a93-7687-4e8c-b79e-3138687e0f38___JR_HL 7955_final_masked.png,png,60969,"Pepper,_bell___healthy",256,256,RGB,3,1.0,True,False,False,84488e53f6cd305a58ae5a8cd054d083,False,"Pepper,_bell",healthy,False
"/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Pepper,_bell___healthy/00726ad4-2569-46ce-9d4e-dbf82b14bd94___JR_HL 8686_final_masked.png",00726ad4-2569-46ce-9d4e-dbf82b14bd94___JR_HL 8686_final_masked.png,png,74175,"Pepper,_bell___healthy",256,256,RGB,3,1.0,True,False,False,31bdb798815c9543f80563e67a381bb7,False,"Pepper,_bell",healthy,False
"/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Pepper,_bell___healthy/0119205b-cfac-4322-be37-dcc401fcfa11___JR_HL 8527_final_masked.png",0119205b-cfac-4322-be37-dcc401fcfa11___JR_HL 8527_final_masked.png,png,75324,"Pepper,_bell___healthy",256,256,RGB,3,1.0,True,False,False,09fe9e826d558f91e5908a9b8aa88970,False,"Pepper,_bell",healthy,False
"/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Pepper,_bell___healthy/002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068_final_masked.png",002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068_final_masked.png,png,69487,"Pepper,_bell___healthy",256,256,RGB,3,1.0,True,False,False,7252bffaec4f9ba177d0d9d21a5d3a2f,False,"Pepper,_bell",healthy,False
"/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Pepper,_bell___healthy/00100ffa-095e-4881-aebf-61fe5af7226e___JR_HL 7886_final_masked.png",00100ffa-095e-4881-aebf-61fe5af7226e___JR_HL 7886_final_masked.png,png,77267,"Pepper,_bell___healthy",256,256,RGB,3,1.0,True,False,False,ce7fdf7ad3f716b713fa65256d9ed75b,False,"Pepper,_bell",healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Orange___Haunglongbing_(Citrus_greening)/00045d08-898c-40df-ada6-e7579637a1f9___UF.Citrus_HLB_Lab 1690_final_masked.png,00045d08-898c-40df-ada6-e7579637a1f9___UF.Citrus_HLB_Lab 1690_final_masked.png,png,50770,Orange___Haunglongbing_(Citrus_greening),256,256,RGB,3,1.0,True,False,False,f02eebe53dc6cb314583c8bce888cc23,False,Orange,Haunglongbing_(Citrus_greening),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Orange___Haunglongbing_(Citrus_greening)/00543c40-4cd3-413a-a152-5ceeffea98a0___UF.Citrus_HLB_Lab 0440_final_masked.png,00543c40-4cd3-413a-a152-5ceeffea98a0___UF.Citrus_HLB_Lab 0440_final_masked.png,png,56796,Orange___Haunglongbing_(Citrus_greening),256,256,RGB,3,1.0,True,False,False,7a550da440200c0e012a43cefec9a9ee,False,Orange,Haunglongbing_(Citrus_greening),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Orange___Haunglongbing_(Citrus_greening)/0051c200-bffe-4fa9-8518-594cd061d435___CREC_HLB 4835_final_masked.png,0051c200-bffe-4fa9-8518-594cd061d435___CREC_HLB 4835_final_masked.png,png,63898,Orange___Haunglongbing_(Citrus_greening),256,256,RGB,3,1.0,True,False,False,0e42b8b050fb3df155a660d9519e17d6,False,Orange,Haunglongbing_(Citrus_greening),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Orange___Haunglongbing_(Citrus_greening)/000945ae-3cf5-48c2-86a2-a3f1e777f2c7___CREC_HLB 7640_final_masked.png,000945ae-3cf5-48c2-86a2-a3f1e777f2c7___CREC_HLB 7640_final_masked.png,png,64792,Orange___Haunglongbing_(Citrus_greening),256,256,RGB,3,1.0,True,False,False,f908d3d2565a77eac863cd62452515ef,False,Orange,Haunglongbing_(Citrus_greening),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Orange___Haunglongbing_(Citrus_greening)/0022b959-3cf3-4e3a-9ed2-94623183c7fb___CREC_HLB 5510_final_masked.png,0022b959-3cf3-4e3a-9ed2-94623183c7fb___CREC_HLB 5510_final_masked.png,png,57081,Orange___Haunglongbing_(Citrus_greening),256,256,RGB,3,1.0,True,False,False,2b3ba527f8d7827a1127901e201467b0,False,Orange,Haunglongbing_(Citrus_greening),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Leaf_Mold/02415b3d-2ba8-4654-8398-a480ad901bbf___Crnl_L.Mold 8645_final_masked.png,02415b3d-2ba8-4654-8398-a480ad901bbf___Crnl_L.Mold 8645_final_masked.png,png,56313,Tomato___Leaf_Mold,256,256,RGB,3,1.0,True,False,False,b7e4ca852d74c5ace3fa4fc02d81159e,False,Tomato,Leaf_Mold,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Leaf_Mold/0160c3b5-d89e-40e5-a313-49ae1524040a___Crnl_L.Mold 6823_final_masked.png,0160c3b5-d89e-40e5-a313-49ae1524040a___Crnl_L.Mold 6823_final_masked.png,png,50017,Tomato___Leaf_Mold,256,256,RGB,3,1.0,True,False,False,c75db48762a2dcb4071d88153836b8f6,False,Tomato,Leaf_Mold,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Leaf_Mold/0185befe-f0b5-4848-9677-f33c2237f4e9___Crnl_L.Mold 8729_final_masked.png,0185befe-f0b5-4848-9677-f33c2237f4e9___Crnl_L.Mold 8729_final_masked.png,png,53018,Tomato___Leaf_Mold,256,256,RGB,3,1.0,True,False,False,89e4f82706f15452c7faa4b7a4b2b6ad,False,Tomato,Leaf_Mold,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Leaf_Mold/022a4dfb-84cc-45cb-81c5-a620817e31cb___Crnl_L.Mold 6926_final_masked.png,022a4dfb-84cc-45cb-81c5-a620817e31cb___Crnl_L.Mold 6926_final_masked.png,png,49152,Tomato___Leaf_Mold,256,256,RGB,3,1.0,True,False,False,40eef34973a55b40a50d8542cddcb56c,False,Tomato,Leaf_Mold,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Tomato___Leaf_Mold/00694db7-3327-45e0-b4da-a8bb7ab6a4b7___Crnl_L.Mold 6923_final_masked.png,00694db7-3327-45e0-b4da-a8bb7ab6a4b7___Crnl_L.Mold 6923_final_masked.png,png,34363,Tomato___Leaf_Mold,256,256,RGB,3,1.0,True,False,False,58987ffdf35df648e851df792c4ddd39,False,Tomato,Leaf_Mold,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/0001aa74-bbd7-433b-a900-1dccab39d521___FAM_L.Blight 4508_final_masked.png,0001aa74-bbd7-433b-a900-1dccab39d521___FAM_L.Blight 4508_final_masked.png,png,92780,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),256,256,RGB,3,1.0,True,False,False,401d554543daa8d37241326c4e40a013,False,Grape,Leaf_blight_(Isariopsis_Leaf_Spot),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/002e4d32-15cf-4350-bfba-dde7c8992392___FAM_L.Blight 4740_final_masked.png,002e4d32-15cf-4350-bfba-dde7c8992392___FAM_L.Blight 4740_final_masked.png,png,100292,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),256,256,RGB,3,1.0,True,False,False,f32d115150160f10098208729d84a54e,False,Grape,Leaf_blight_(Isariopsis_Leaf_Spot),False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/0012e1ee-fde3-478f-ab27-18648feb2b05___FAM_L.Blight 1647_final_masked.png,0012e1ee-fde3-478f-ab27-18648feb2b05___FAM_L.Blight 1647_final_masked.png,png,97075,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),256,256,RGB,3,1.0,True,False,False,83a11a59074d8e2881e14cdb99867118,False,Grape,Leaf_blight_(Isariopsis_Leaf_Spot),False
